Mean of Bot Competance Dstbn,Variance of Bot Competance Dstbn,Bot Only Levenshtein Distance,Align Consensus Levenshtein Distance
0,0.0,111,111
1,0.01,96,103
1,0.02,101,105
1,0.03,100,107
1,0.04,96,107
1,0.05,96,105
1,0.060000000000000005,97,102
1,0.07,102,110
1,0.08,97,105
1,0.09,98,106
1,0.09999999999999999,97,105
1,0.10999999999999999,100,106
1,0.11999999999999998,97,107
1,0.12999999999999998,100,109
1,0.13999999999999999,101,104
1,0.15,104,109
1,0.16,101,106
1,0.17,102,105
1,0.18000000000000002,105,109
1,0.19000000000000003,100,109
1,0.20000000000000004,102,105
1,0.21000000000000005,105,111
1,0.22000000000000006,100,105
1,0.23000000000000007,102,106
1,0.24000000000000007,106,110
1,0.25000000000000006,106,110
1,0.26000000000000006,104,108
1,0.2700000000000001,105,108
1,0.2800000000000001,104,108
1,0.2900000000000001,102,110
1,0.3000000000000001,103,110
1,0.3100000000000001,102,108
1,0.3200000000000001,104,107
1,0.3300000000000001,103,108
1,0.34000000000000014,107,110
1,0.35000000000000014,105,108
1,0.36000000000000015,110,111
1,0.37000000000000016,103,108
1,0.38000000000000017,106,110
1,0.3900000000000002,102,106
1,0.4000000000000002,108,109
1,0.4100000000000002,113,113
1,0.4200000000000002,105,109
1,0.4300000000000002,109,112
1,0.4400000000000002,109,112
1,0.45000000000000023,103,108
1,0.46000000000000024,112,111
1,0.47000000000000025,111,110
1,0.48000000000000026,106,109
1,0.49000000000000027,107,107
1,0.5000000000000002,111,111
1,0.5100000000000002,105,109
1,0.5200000000000002,110,109
1,0.5300000000000002,109,109
1,0.5400000000000003,108,109
1,0.5500000000000003,113,110
1,0.5600000000000003,115,112
1,0.5700000000000003,109,112
1,0.5800000000000003,109,111
1,0.5900000000000003,105,110
1,0.6000000000000003,112,112
1,0.6100000000000003,117,115
1,0.6200000000000003,114,112
1,0.6300000000000003,106,110
1,0.6400000000000003,112,111
1,0.6500000000000004,106,108
1,0.6600000000000004,113,111
1,0.6700000000000004,109,111
1,0.6800000000000004,109,110
1,0.6900000000000004,109,110
1,0.7000000000000004,108,111
1,0.7100000000000004,109,112
1,0.7200000000000004,108,110
1,0.7300000000000004,109,110
1,0.7400000000000004,109,109
1,0.7500000000000004,111,111
1,0.7600000000000005,113,112
1,0.7700000000000005,114,111
1,0.7800000000000005,108,108
1,0.7900000000000005,107,108
1,0.8000000000000005,110,110
1,0.8100000000000005,109,109
1,0.8200000000000005,112,110
1,0.8300000000000005,113,112
1,0.8400000000000005,109,109
1,0.8500000000000005,115,113
1,0.8600000000000005,114,112
1,0.8700000000000006,111,112
1,0.8800000000000006,105,109
1,0.8900000000000006,108,110
1,0.9000000000000006,117,113
1,0.9100000000000006,109,114
1,0.9200000000000006,106,109
1,0.9300000000000006,109,109
1,0.9400000000000006,114,112
1,0.9500000000000006,107,110
1,0.9600000000000006,108,110
1,0.9700000000000006,110,112
1,0.9800000000000006,114,113
1,0.9900000000000007,108,110
1,1.0000000000000007,117,115
0,1.0000000000000007,111,109
0,0.9900000000000007,113,110
0,0.9800000000000006,123,117
0,0.9700000000000006,114,113
0,0.9600000000000006,113,114
0,0.9500000000000006,119,112
0,0.9400000000000006,116,112
0,0.9300000000000006,113,112
0,0.9200000000000006,115,112
0,0.9100000000000006,119,114
0,0.9000000000000006,112,111
0,0.8900000000000006,114,115
0,0.8800000000000006,116,114
0,0.8700000000000006,115,111
0,0.8600000000000005,115,114
0,0.8500000000000005,117,116
0,0.8400000000000005,117,111
0,0.8300000000000005,118,114
0,0.8200000000000005,117,115
0,0.8100000000000005,115,110
0,0.8000000000000005,116,112
0,0.7900000000000005,121,116
0,0.7800000000000005,117,115
0,0.7700000000000005,117,112
0,0.7600000000000005,114,110
0,0.7500000000000004,114,113
0,0.7400000000000004,118,113
0,0.7300000000000004,117,114
0,0.7200000000000004,111,108
0,0.7100000000000004,118,117
0,0.7000000000000004,114,112
0,0.6900000000000004,115,114
0,0.6800000000000004,117,115
0,0.6700000000000004,115,114
0,0.6600000000000004,113,113
0,0.6500000000000004,118,114
0,0.6400000000000003,117,114
0,0.6300000000000003,116,112
0,0.6200000000000003,117,115
0,0.6100000000000003,119,115
0,0.6000000000000003,109,111
0,0.5900000000000003,122,116
0,0.5800000000000003,111,112
0,0.5700000000000003,117,114
0,0.5600000000000003,114,114
0,0.5500000000000003,122,112
0,0.5400000000000003,121,113
0,0.5300000000000002,119,113
0,0.5200000000000002,114,114
0,0.5100000000000002,113,114
0,0.5000000000000002,112,109
0,0.4900000000000002,119,113
0,0.4800000000000002,118,114
0,0.4700000000000002,117,113
0,0.4600000000000002,117,114
0,0.4500000000000002,119,116
0,0.44000000000000017,120,116
0,0.43000000000000016,116,112
0,0.42000000000000015,121,115
0,0.41000000000000014,118,114
0,0.40000000000000013,116,114
0,0.3900000000000001,118,114
0,0.3800000000000001,122,116
0,0.3700000000000001,120,114
0,0.3600000000000001,121,114
0,0.3500000000000001,118,116
0,0.3400000000000001,123,116
0,0.33000000000000007,120,116
0,0.32000000000000006,123,115
0,0.31000000000000005,117,116
0,0.30000000000000004,123,115
0,0.29000000000000004,124,117
0,0.28,124,116
0,0.27,120,114
0,0.26,122,115
0,0.25,124,116
0,0.24,123,115
0,0.22999999999999998,123,117
0,0.21999999999999997,121,114
0,0.20999999999999996,124,117
0,0.19999999999999996,121,114
0,0.18999999999999995,122,116
0,0.17999999999999994,126,117
0,0.16999999999999993,125,117
0,0.15999999999999992,125,117
0,0.1499999999999999,124,119
0,0.1399999999999999,126,116
0,0.1299999999999999,125,118
0,0.1199999999999999,123,119
0,0.1099999999999999,125,117
0,0.09999999999999991,124,118
0,0.08999999999999991,127,117
0,0.07999999999999992,125,117
0,0.06999999999999992,129,118
0,0.05999999999999992,125,116
0,0.04999999999999992,127,117
0,0.03999999999999992,126,117
0,0.029999999999999916,127,116
0,0.019999999999999914,126,118
0,0.009999999999999913,126,116
